,CountryCode,CountryName
7434,AFG,Afghanistan
7603,ALB,Albania
7705,DZA,Algeria
7901,ASM,American Samoa
7921,AND,Andorra
7929,AGO,Angola
8063,ATG,Antigua and Barbuda
8169,ARG,Argentina
8383,ARM,Armenia
8464,ABW,Aruba
8556,AUS,Australia
8808,AUT,Austria
8989,AZE,Azerbaijan
9070,BHS,"Bahamas, The"
9191,BHR,Bahrain
9301,BGD,Bangladesh
9485,BRB,Barbados
9593,BLR,Belarus
9676,BEL,Belgium
9832,BLZ,Belize
9962,BEN,Benin
10170,BMU,Bermuda
10209,BTN,Bhutan
10293,BOL,Bolivia
10496,BIH,Bosnia and Herzegovina
10575,BWA,Botswana
10745,BRA,Brazil
10988,VGB,British Virgin Islands
11009,BRN,Brunei Darussalam
11134,BGR,Bulgaria
11241,BFA,Burkina Faso
11427,BDI,Burundi
11582,CPV,Cabo Verde
11689,KHM,Cambodia
11860,CMR,Cameroon
12033,CAN,Canada
12259,CYM,Cayman Islands
12285,CAF,Central African Republic
12470,TCD,Chad
12675,CHI,Channel Islands
12755,CHL,Chile
13018,CHN,China
13177,COL,Colombia
13403,COM,Comoros
13497,COD,"Congo, Dem. Rep."
13627,COG,"Congo, Rep."
13844,CRI,Costa Rica
14090,CIV,Cote d'Ivoire
14286,HRV,Croatia
14365,CUB,Cuba
14485,CUW,Curacao
14554,CYP,Cyprus
14689,CZE,Czech Republic
14770,DNK,Denmark
14953,DJI,Djibouti
15048,DMA,Dominica
15082,DOM,Dominican Republic
15320,ECU,Ecuador
15577,EGY,"Egypt, Arab Rep."
15801,SLV,El Salvador
15940,GNQ,Equatorial Guinea
16036,ERI,Eritrea
16117,EST,Estonia
16197,SWZ,Eswatini
16361,ETH,Ethiopia
16503,FRO,Faroe Islands
16533,FJI,Fiji
16684,FIN,Finland
16866,FRA,France
17132,PYF,French Polynesia
17229,GAB,Gabon
17420,GMB,"Gambia, The"
17531,GEO,Georgia
17612,DEU,Germany
17759,GHA,Ghana
17975,GIB,Gibraltar
18004,GRC,Greece
18243,GRL,Greenland
18272,GRD,Grenada
18381,GUM,Guam
18471,GTM,Guatemala
18706,GIN,Guinea
18831,GNB,Guinea-Bissau
18929,GUY,Guyana
19155,HTI,Haiti
19316,HND,Honduras
19563,HKG,"Hong Kong SAR, China"
19737,HUN,Hungary
19875,ISL,Iceland
20051,IND,India
20328,IDN,Indonesia
20540,IRN,"Iran, Islamic Rep."
20781,IRQ,Iraq
20945,IRL,Ireland
21111,IMN,Isle of Man
21124,ISR,Israel
21343,ITA,Italy
21526,JAM,Jamaica
21713,JPN,Japan
21917,JOR,Jordan
22069,KAZ,Kazakhstan
22150,KEN,Kenya
22366,KIR,Kiribati
22460,PRK,"Korea, Dem. People’s Rep."
22554,KOR,"Korea, Rep."
